Titles,Keywords,Abstract
"In vitro Alternatives to Acute Inhalation Toxicity Studies in 
Animal Models—A Perspective","air-liquid interface (ALI) culture, In vitro alternatives, inhalation studies, lung epithelium, toxicity testing alternatives","When assessing the risk and hazard of a non-pharmaceutical compound,
 the first step is determining acute toxicity, including toxicity following inhalation. Inhalation is a major exposure route for humans, and the respiratory epithelium is the first tissue that inhaled substances directly interact with. Acute inhalation toxicity testing for regulatory purposes is currently performed only in rats and/or mice according to OECD TG403, TG436, and TG433 test guidelines. Such tests are biased by the differences in the respiratory tract architecture and function across species, making it difficult to draw conclusions on the potential hazard of inhaled compounds in humans. Research efforts have been therefore focused on developing alternative, human-relevant models, with emphasis on the creation of advanced In vitro models. To date, there is no In vitro model that has been accepted by regulatory agencies as a stand-alone replacement for inhalation toxicity testing in animals. Here, we provide a brief introduction to current OECD test guidelines for acute inhalation toxicity, the interspecies differences affecting the predictive value of such tests, and the current regulatory efforts to advance alternative approaches to animal-based inhalation toxicity studies. We then list the steps that should allow overcoming the current challenges in validating In vitro alternatives for the successful replacement of animal-based inhalation toxicity studies. These steps are inclusive and descriptive, and should be detailed when adopting in house-produced 3D cell models for inhalation tests. Hence, we provide a checklist of key parameters that should be reported in any future scientific publications for reproducibility and transparency. © Copyright © 2020 Movia, Bruni-Favier and Prina-Mello."
Toxicological screening,"No Observed Adverse Effect Level, rodents, Toxicity","Toxicity testing of new compounds is essential for drug development process. 
The preclinical toxicity testing on various biological systems reveals the species-, organ- and dose- specific toxic effects of an investigational product. The toxicity of substances can be observed by (a) studying the accidental exposures to a substance (b) in vitro studies using cells/ cell lines (c) in vivo exposure on experimental animals. This review mainly focuses on the various experimental animal models and methods used for toxicity testing of substances. The pre-clinical toxicity testing helps to calculate ""No Observed Adverse Effect Level"" which is needed to initiate the clinical evaluation of investigational products."
Therapeutic Potential of Centella asiatica and Its Triterpenes: A Review,"anti-apoptosis, anti-inflammatory, anti-oxidative stress, Centella asiatica, triterpenoids","Centella asiatica (also known as Centella asiatica (L.) Urb. or Gotu kola) is
 a traditional Chinese medicine with extensive medicinal value, which is commonly used in Southeast Asian countries. This study aimed to summarize the effects of C. asiatica and its main components on neurological diseases, endocrine diseases, skin diseases, cardiovascular diseases, gastrointestinal diseases, immune diseases, and gynecological diseases, as well as potential molecular mechanisms, to study the pathological mechanism of these diseases based on the changes at the molecular level. The results showed that C. asiatica and its triterpenoids had extensive beneficial effects on neurological and skin diseases, which were confirmed through clinical studies. They exhibited anti-inflammatory, anti-oxidative stress, anti-apoptotic effects, and improvement in mitochondrial function. However, further clinical studies are urgently required due to the low level of evidence and lack of patients. © Copyright © 2020 Sun, Wu, Wu, Zhang, Qin, Hayashi, Kudo, Gao and Liu."
"Ethnobotany, Phytochemistry and Pharmacological Features of Centella 
asiatica: A Comprehensive Review","Centella asiatica, Clinical studies, Ethnobotany, Herbal plant, Pharmacology, Phytochemistry","Centella asiatica (CA) or Gotu cola is an herbal plant 
from the Apiaceae family with a long history of usage in different traditional medicines. It has long been used for the treatment of various ailments such as central nervous system (CNS), skin and gastrointestinal disorders especially in the Southeast Asia. This chapter focused on the phytochemical constituent and pharmacological activities of CA based on preclinical and clinical studies. Additionally, botanical description and distribution, traditional uses, interactions, and safety issues are reviewed. Electronic databases of Google Scholar, Scopus, PubMed, and Web of Science were searched to obtain relevant studies on the pharmacological activities of CA. Approximately, 124 chemical compounds including triterpenoids, polyphenolic compounds, and essential oils have been isolated and identified from CA. Ethnomedicinal applications of CA mostly include treatment of gastrointestinal diseases, wounds, nervous system disorders, circulatory diseases, skin problems, respiratory ailments, diabetes and sleep disorders in various ethnobotanical practices. Pharmacological studies revealed a wide range of beneficial effects of CA on CNS, cardiovascular, lung, liver, kidney, gastrointestinal, skin, and endocrine system. Among them, neuroprotective activity, wound healing and treatment of venous insufficiency, as well as antidiabetic activity seem to be more frequently reported. At the moment, considering various health benefits of CA, it is marketed as an oral supplement as well as a topical ingredient in some cosmetic products. Additional preclinical studies and particularly randomized controlled trials are needed to clarify the therapeutic roles of CA. © 2021, Springer Nature Switzerland AG."
"Chemical structures, production and enzymatic transformations of 
sapogenins and saponins from Centella asiatica (L.) Urban","Asiaticoside, Biotechnological production, Biotransformations, Centelloids, Madecassoside, Pentacyclic triterpenes
","Centella asiatica (L.) Urban is a medicinal herb traditionally used in
 Asiatic countries for its multiple therapeutic properties, essentially due to its accumulation of specific pentacylic triterpenoid saponins, mainly asiaticoside and madecassoside and the corresponding sapogenins. This review summarizes the updated knowledge about the chemical structures of about forty centelloids, found as minor metabolites in Centella, and all derived from ursane and oleane ring patterns. Similarly, the most recent genetic and enzymatic features involved in their biosynthesis is reviewed, in relation with their biotechnological production developed, either from in vitro plant cultures or undifferentiated cells, in order to be independent of natural sources and to provide a continuous and reliable source of centelloids. Finally, a short survey of the biotransformations of some centelloids, either in animal, human or microorganisms is reviewed."
"Centella asiatica (L.) Urban: From traditional medicine to modern
 medicine with neuroprotective potential","asiatic acid, asiaticoside, Centella asiatica extract, madasiatic acid, madecassic
 acid; madecassoside; plant extract; terpenoid derivative; unclassified drug","This paper covers the studies relevant to neuroprotective activity of
 Centella asiatica (L.) Urban, also known as Gotu Kola. The plant is native to the Southeast Asia and has been used traditionally as brain tonic in ayurvedic medicine. The neuroprotective effect of C. asiatica has been searched using the key words Centella, Centella asiatica, gotu kola, Asiatic pennywort, neuroprotection, and memory through the electronic databases including Sciencedirect, Web of Science, Scopus, Pubmed, and Google Scholar. According to the literature survey, C. asiatica (gotu kola) has been reported to have a comprehensive neuroprotection by different modes of action such as enzyme inhibition, prevention of amyloid plaque formation in Alzheimer's disease, dopamine neurotoxicity in Parkinson's disease, and decreasing oxidative stress. Therefore, C. asiatica could be suggested to be a desired phytopharmaceutical with neuroprotective effect emerged from traditional medicine. Copyright © 2012 Ilkay Erdogan Orhan."
"Centella asiatica attenuates hippocampal mitochondrial dysfunction and
 improves memory and executive function in β-amyloid overexpressing mice","Antioxidant, Beta amyloid, Executive function, Mitochondrial function","Centella asiatica is a medicinal plant used to enhance memory.
 We have previously shown that a water extract of Centella asiatica (CAW) attenuates β-amyloid (Aβ)-induced spatial memory deficits in mice and improves neuronal health. Yet the effect of CAW on other cognitive domains remains unexplored as does its in vivo mechanism of improving Aβ-related cognitive impairment. This study investigates the effects of CAW on learning, memory and executive function as well as mitochondrial function and antioxidant response in the 5xFAD model of Aβ accumulation. Seven month old 5xFAD female mice were treated with CAW (2 mg/mL) in their drinking water for two weeks prior to behavioral testing. Learning, memory and executive function were assessed using the object location memory task (OLM), conditioned fear response (CFR) and odor discrimination reversal learning (ODRL) test. Mitochondrial function was profiled using the Seahorse XF platform in hippocampal mitochondria isolated from these animals and tissue was harvested for assessment of mitochondrial, antioxidant and synaptic proteins. CAW improved performance in all behavioral tests in the 5xFAD but had no effect on WT animals. Hippocampal mitochondrial function was improved and hippocampal and cortical expression of mitochondrial genes was increased in CAW-treated 5xFAD mice. Gene expression of the transcription factor NRF2, as well as its antioxidant target enzymes, was also increased with CAW treatment in both WT and 5xFAD mice. CAW treatment also decreased Aβ-plaque burden in the hippocampus of treated 5xFAD mice but had no effect on plaques in the cortex. These data show that CAW can improve many facets of Aβ-related cognitive impairment in 5xFAD mice. Oral treatment with CAW also attenuates hippocampal mitochondrial dysfunction in these animals. Because mitochondrial dysfunction and oxidative stress accompany cognitive impairment in many pathological conditions beyond Alzheimer's disease, this suggests potentially broad therapeutic utility of CAW. © 2018 Elsevier Inc."
Centella asiatica in cosmetology,"Centella asiatica, Cosmetic preparation, Triterpenes, Wound healing","Centella asiatica known as Gotu Kola is a medicinal plant that has been used 
in folk medicine for hundreds of years as well as in scientifically oriented medicine. The active compounds include pentacyclic triterpenes, mainly asiaticoside, madecassoside, asiatic and madecassic acids. Centella asiatica is effective in improving treatment of small wounds, hypertrophic wounds as well as burns, psoriasis and scleroderma. The mechanism of action involves promoting fibroblast proliferation and increasing the synthesis of collagen and intracellular fibronectin content and also improvement of the tensile strength of newly formed skin as well as inhibiting the inflammatory phase of hypertrophic scars and keloids. Research results indicate that it can be used in the treatment of photoaging skin, cellulite and striae."
"Insights into antioxidant activities and anti-skin-aging potential of
 callus extract from Centella asiatica (L.)","Antioxidants, Cells, Cultured, Centella, Fibroblasts, Humans, Skin Aging, Triterpenes","Formation of oxidative stress in dermal fibroblasts plays crucial roles in aging 
processes of skin. The use of phytochemicals that can promote capacity of fibroblasts to combat oxidative stress is an attractive strategy to prevent skin aging and promote skin beauty. Centella asiatica has been used to treat multitude of diseases for centuries. Previous investigations demonstrated that extracts from C. asiatica have a broad range of beneficial activities through their antioxidant activity. Hence, the extract from this medicinal plant could be a great candidate for anti-skin-aging agent. Callus culture offers a powerful platform for sustainable, rapid and large-scale production of phytochemicals to serve extensive demands of pharmaceutical and cosmeceutical industries. Here, we demonstrated the application of callus culture of Centella asiatica to produce bioactive metabolites. The 50% ethanolic extract of callus culture has distinctive features of chemical compositions and biological profiles. Information from HPTLC-DPPH and HPLC analysis suggested that the callus extract comprises distinctive antioxidant compounds, compared with those isolated from authentic plant. Moreover, results from cell culture experiment demonstrated that callus extract possesses promising antioxidant and anti-skin-aging activities. Pre-treatment with callus extract attenuated H2O2-induced-cytotoxicity on human dermal fibroblasts. The results from RT-qPCR clearly suggested that the upregulation of cellular antioxidant enzymes appeared to be major contributor for the protective effects of callus extract against oxidative stress. Moreover, supplementation with callus extract inhibited induction of matrix metalloprotease-9 following H2O2 exposure, suggesting its potential anti-skin-aging activity. Our results demonstrate the potential utility of C. asiatica callus extract as anti-skin-aging agent in cosmeceutical preparations. © 2021, The Author(s)."
"Metabolic alteration in obese diabetes rats upon treatment with
 Centella asiatica extract","Centella asiatica, NMR-based metabolomics, Obese-diabetic rats, Serum metabolites, Urine metabolites","Ethnopharmacological relevance 'Pegaga' is a traditional Malay remedy 
for a wide range of complaints. Among the 'pegaga', Centella asiatica has been used as a remedy for diabetes mellitus. Thus, we decided to validate this claim by evaluating the in vivo antidiabetic property of C. asiatica (CA) on T2DM rat model using the holistic 1H NMR-based metabolomics approach. Method In this study, an obese diabetic (mimic of T2DM condition) animal model was developed using Sprague-Dawley rats fed with a high-fat diet and induced into diabetic condition by the treatment of a low dose of streptozotocin (STZ). The effect of C. asiatica extract on the experimental animals was followed based on the changes observed in the urinary and serum metabolites, measured by 1H NMR of urine and blood samples collected over the test period. Results A long-term treatment of obese diabetic rats with CA extract could reverse the glucose and lipid levels, as well as the tricarboxylic acid cycle and amino acid metabolic disorders, back towards normal states. Biochemical analysis also showed an increase of insulin production in diabetic rats upon treatment of CA extract. Conclusion This study has provided evidence that clearly supported the traditional use of CA as a remedy for diabetes. NMR-based metabolomics was successfully applied to show that CA produced both anti-hyperglycemic and anti-hyperlipidemic effects on a rat model. In addition to increasing the insulin secretion, the CA extract also ameliorates the metabolic pathways affected in the induced diabectic rats. This study further revealed the potential usage of CA extract in managing diabetes mellitus and the results of this work may contribute towards the further understanding of the underlying molecular mechanism of this herbal remedy. © 2016 Elsevier Ireland Ltd. All rights reserved."
"Centella asiatica enhances hepatic antioxidant status and 
regulates hepatic inflammatory cytokines in type 2 diabetic rats","Apiaceae, Diabetes, Lipids, Liver, Oxidative stress"," Neutralizing the over-activation of oxidative stress and inflammation 
remains an important goal in the management of type 2 diabetes mellitus (T2DM). Centella asiatica (L.) Urban (Apiaceae) (CA) has been used in traditional folklore in Africa and Asia to treat various ailments including diabetes. Objective: We investigated the hepatic antioxidant and anti-inflammatory potential of methanol extract of CA leaves in T2DM. Materials and methods: T2DM was induced in male Sprague-Dawley rats with 10% fructose in drinking water for 14 days followed by a single intraperitoneal injection of streptozotocin (40mg/kg b.wt). Hepatic oxidant/antioxidant status was assessed by measuring the concentrations of malondialdehyde (MDA), ferric reducing antioxidant power (FRAP), oxygen radical absorbance capacity (ORAC), Trolox equivalent antioxidant capacity (TEAC), reduced glutathione (GSH) and activities of glutathione S-transferase (GST) and glutathione peroxidase (GPX). The concentrations of cytokines IL-1β, IL-4, IL-6, IL-10, MCP-1 and TNF-α in the liver were determined. Results: Diabetes increased MDA formed (47%) and reduced FRAP (20%), TEAC (15%), GSH levels (32%), significantly; decreased GST and GPX activities in the liver and elevated levels of cytokines studied. Treatment of diabetic rats with 500 mg/kg b.wt CA for 14 days decreased MDA (44%); elevated FRAP (15%) and GSH (131%) levels and increased the activities of GST and GPX by 16%. Hepatic concentrations of IL-1β, MCP-1 and TNF-α in DCA group were reduced to 68%, 75% and 63% of DC values, respectively. Conclusions: The antioxidant and anti-inflammatory properties of CA may protect tissues such as the liver from diabetes-induced oxidative damage. © 2017 The Author(s)."
"Centella asiatica ameliorates diabetes-induced stress in rat tissues via 
influences on antioxidants and inflammatory cytokines","Apiaceae, Brain, Cytokines, Diabetes, Kidney, Oxidative stress","Centella asiatica (L.) Urban (Family: Apiaceae) is a perennial herb 
that has been used to elevate mood, improve memory, treat wounds and manage kidney-related ailments in African traditional medicine practice. This study evaluated the potential benefits of C. asiatica (CA) on diabetes-induced stress in kidney and brain of rats. Following the induction of diabetes mellitus (DM), rats were orally treated with vehicle, CA or Metformin daily for 14 days. After treatment, renal and brain levels of inflammatory cytokines, TNF-α, IFN-γ, IL-4, and IL-10 were assessed. Oxidant and antioxidant biomarkers were also evaluated. Phyto-compounds in the crude methanol extract of CA were analyzed by Gas Chromatography–Mass Spectroscopy. Diabetes increased malondialdehyde (MDA) concentration by 39%; elevated levels of TNF-α (44%) and IFN-γ (20%); and reduced the antioxidant status in the kidney in comparison to normal control rats. In the brain, diabetic control rats had significantly greater levels of MDA, TNF-α, and IFN-γ (182%, 40%, and 20%, respectively) in addition to the lowered antioxidant status when compared to normal control rats. However, treatment with CA significantly reduced the renal levels of MDA (33%), TNF-α (78%), and IFN-γ (42%) while that of IL-10 increased by 18% when compared to diabetic control rats. In the brain, CA treatment elicited significant reductions in MDA (37%), TNF-α (30%), and IFN-γ (37%) levels while those of IL-4 and IL-10 increased by 94% and 20% respectively. In addition, the renal and brain antioxidant status was significantly boosted by CA treatment. Several medicinal compounds including ascorbic acid, asiatic acid, oleanolic acid, stevioside, stigmasterol, and α-humulene were identified in the crude extract of CA. Findings from this study suggest CA may protect diabetic tissues from stress via antioxidant and anti-inflammatory mechanisms that can be useful in the management of diabetic complications. © 2018 Elsevier Masson SAS"
Bipolar Fuzzy Set Theory Applied to the Certain Ideals in BCI-Algebras,"BCI-algebra, bipolar fuzzy BCI-closed ideal, bipolar fuzzy BCI-commutative ideal, bipolar fuzzy BCI-positive implicative ideal, closed ideal, commutative ideal, ideal","The study of symmetry is one of the most important and beautiful themes uniting various areas of contemporary arithmetic. Algebraic structures are useful structures in pure mathematics for learning a geometrical object’s symmetries. In this paper, we introduce new concepts in an algebraic structure called BCI-algebra, where we present the concepts of bipolar fuzzy (closed) BCIpositive implicative ideals and bipolar fuzzy (closed) BCI-commutative ideals of BCI-algebras. The relationship between bipolar fuzzy (closed) BCI-positive implicative ideals and bipolar fuzzy ideals is investigated, and various conditions are provided for a bipolar fuzzy ideal to be a bipolar fuzzy BCI-positive implicative ideal. Furthermore, conditions are presented for a bipolar fuzzy (closed) ideal to be a bipolar fuzzy BCI-commutative ideal. © 2022 by the authors. Licensee MDPI, Basel, Switzerland."
A New Branch of the Pure Algebra: BCL-Algebras,"Logic Algebra, BCK-Algebra, BCI-Algebra, BCH-Algebra, BCL-Algebra","The BCK/BCI/BCH-algebras finds general algebra system than Boolean algebras system. This paper presents a novel class of algebras of type (2, 0) called BCL-algebras. We found the BCL-algebras to be more extensive class than BCK/BCI/BCH-algebras in the abstract algebra. The BCL-algebras as a class of logical algebras are the algebraic formulations of the set difference together with its properties in set theory and the propositional calculus in logical systems. It is important that the BCL-algebras play an independent role in the axiom algebra system."
Fuzzy sets,"function, fuzzy, intersection","A fuzzy set is a class of objects with a continuum of grades of membership. Such a set is characterized by a membership (characteristic) function which assigns to each object a grade of membership ranging between zero and one. The notions of inclusion, union, intersection, complement, relation, convexity, etc., are extended to such sets, and various properties of these notions in the context of fuzzy sets are established. In particular, a separation theorem for convex fuzzy sets is proved without requiring that the fuzzy sets be disjoint. © 1965 Academic Press, Inc."
Fuzzy ideals in BCI-algebras,"(BCI-implicative, BCI-positive implicative, BCI-commutative) ideal of BCI-algebra, (Implicative, positive implicative, commutative) BCI-algebra, Fuzzy (BCI-implicative, BCI-positive implicative, BCI-commutative) ideal of BCI-algebra","The aim of this paper is to introduce the notions of fuzzy BCI-positive implicative ideals and fuzzy BCI-implicative ideals of BCI-algebras and to investigate their properties. We give several characterizations of fuzzy BCI-positive implicative ideals and fuzzy BCI-implicative ideals. The extension theorems of fuzzy BCI-positive implicative ideals and fuzzy BCI-implicative ideals are obtained. We discuss the relations among various fuzzy ideals and show that a fuzzy set μ of a BCI-algebra is fuzzy BCI-implicative ideal if and only if μ is both fuzzy BCI-positive implicative ideal and fuzzy BCI-commutative ideal. Finally, we characterize implicative (positive implicative) BCI-algebras via fuzzy BCI-implicative (fuzzy BCI-positive implicative) ideals."
Fuzzy implicative ideals of BCK-algebras,"(implicative, positive implicative, commutative) BCK-algebra, (implicative, positive implicative, commutative) ideal, Fuzzy (implicative, positive implicative, commutative) ideal","The notion of fuzzy implicative ideals of BCK-algebras is introduced. The following results are obtained: for a BCK-algebra X, any fuzzy ideal μ of X must be a fuzzy subalgebra of X; suppose that μ and ν are fuzzy ideals of X with μ≤ν and μ(0) = ν(0); if μ is a fuzzy implicative ideal of X then so is ν; a fuzzy ideal μ of X is fuzzy implicative if and only if μ is both fuzzy positive implicative and fuzzy commutative; a BCK-algebra X is implicative (resp. positive implicative, commutative) if and only if every fuzzy ideal of X is fuzzy implicative (resp. fuzzy positive implicative, fuzzy commutative). Also, several characterizations of fuzzy implicative ideals are given."
bipolar fuzzy sets,"bipolar a-cuts, identity , non-fuzzy, fuzziness, clustering ","A bipolar fuzzy set theory is introduced in the spacc {V(xj)l(\.y)e(-l, 0]x[0J]}. Two types of bipolar a-cuts are proposed. Resolutions of bipolar level sets and their relationships are examined. It is proved that given (x = V(u.v)eR and any- bipolar fuzzy relation from X to Y admits of the resolution identity R and we ct <, v) have which form a nested sequence of non-fuzzy unipolar relations from X to Y; and given a = V(u.v)eR. any bipolar fuzzy relation R from X to Y admits of the bipolar resolution identity R = H aRa = Z (llR\u\ > and we H3 al a2 => aw hich form a nested sequence of crisp bipolar relations from X to Y in {-L0}x{0, l} (Note: -Afb binds two poles into (-A.b)). The bipolar fuzzy set theory combines polarity and fuzziness into a unified model and provides a theoretical basis for bipolar] clustering and multiagent coordination."
YinYang bipolar logic and bipolar fuzzy logic,"Ancient paradox of the liar, Bipolar crisp and fuzzy logic, Bipolar inference, Bipolar information/knowledge fusion, Bipolar truth, First-order soundness and completeness, Gödel's incompleteness theorem, Recovery","It is observed that equilibrium (including quasi- or non-equilibrium) is natural reality or bipolar truth. It is asserted that a multiple valued logic is a finite-valued extension of Boolean logic; a fuzzy logic is a real-valued extension of Boolean logic; Boolean logic and its extensions are unipolar systems that cannot be directly used to represent bipolar truth for visualization. To circumvent the representational limitations of unipolar systems, a zero-order (propositional) bipolar combinational logic BCL 1 in the bipolar space B1={-1,0}×{0,1} is upgraded to a first-order (predicate) bipolar logic. BCL1 is then extended to an (n+1)2-valued crisp bipolar combinational logic BCLn in the bipolar space Bn={-n,⋯,-2,-1,0}×{0,1,2,⋯,n} and a real-valued bipolar fuzzy logic BCLF in the bipolar space BF=[-1,0]×[0,1]. A bipolar counterpart of unipolar axioms and rules of inference is introduced with the addition of bipolar augmentation. First-order consistency and completeness are proved. Depolarization functions are identified for the recovery of BCL1, BCLn, and BCLF to Boolean logic, a (n+1)-valued logic, and fuzzy logic, respectively. Thus, BCL1, BCLn, and BCLF are bipolar generalizations or fusions of Boolean logic, multiple valued logic, and fuzzy logic, respectively. The bipolar family of systems provides a unique representation for bipolar knowledge fusion and visualization in an equilibrium world. The semantics of the bipolar systems are established, justified, and compared with unipolar systems. A redress is presented for the ancient paradox of the liar that leads to a few comments on Gödel's incompleteness theorem."
"COMPARISON OF INTERVAL-VALUED FUZZY SETS, INTUITIONISTIC FUZZY SETS, AND BIPOLAR-VALUED FUZZY SETS","theory, bipolar-valued,  intuitionistic sets, fuzzy set","There are several kinds of fuzzy set extensions in the fuzzy set theory. Among them, this paper is concerned with interval-valued fuzzy sets, intuitionistic fuzzy sets, and bipolar-valued fuzzy sets. In interval-valued fuzzy sets, membership degrees are represented by an interval value that reflects the uncertainty in assigning membership degrees. In intuitionistic sets, membership degrees are described with a pair of a membership degree and a nonmembership degree. In bipolar-valued fuzzy sets, membership degrees are specified by the satisfaction degrees to a constraint and its counter-constraint. This paper investigates the similarities and differences among these fuzzy set representations."
SUBALGEBRAS AND CLOSED IDEALS OF BCH-ALGEBRAS BASED ON BIPOLAR-VALUED FUZZY SETS,"subalgebras, bipolar fuzzy, closed,  BCH-algebras, ","The notions of bipolar fuzzy subalgebras and bipolar fuzzy closed ideals in BCH-algebras are introduced, and related properties are investigated. Relations between a bipolar fuzzy subalgebra and a bipolar fuzzy closed ideal are considered. Conditions for a bipolar fuzzy subalgebra to be a bipolar fuzzy closed ideal are provided. Characterizations of a bipolar fuzzy closed ideal are discussed."
New types of bipolar fuzzy ideals of BCK-algebras,"BCK-algebras, bipolar fuzzy, implicative ideal of T, notions ","The notions of bipolar fuzzy closed, bipolar fuzzy positive implicative, bipolar fuzzy implicative ideals of BCK-algebras are introduced, and related properties are investigated. Characterizations of a closed, bipolar fuzzy positive implicative, bipolar fuzzy implicative ideals of BCK-algebras are given, and several properties are discussed. Finally, we prove that if T is an implicative BCK-algebra, then a fuzzy subset µ of T is a bipolar fuzzy ideal of T if and only if it is a bipolar fuzzy implicative ideal of T."
Bipolar fuzzy a-ideals of BCI-algebras,"Bipolar fuzzy a-ideal, Bipolar fuzzy ideal, Bipolar fuzzy, subalgebra","The notion of bipolar fuzzy a-ideals of BCI-algebras is introduced, and their properties are investigated. Relations between bipolar fuzzy subalgebras, bipolar fuzzy ideals and bipolar fuzzy a-ideals are discussed. Conditions for a bipolar fuzzy ideal to be a bipolar fuzzy a-ideal are provided. Characterizations of bipolar fuzzy a-ideals are given. Using a finite collection of a-ideals, a bipolar fuzzy a-ideal is established. © 2011 The Korean Mathematical Society."
DOUBT BIPOLAR FUZZY SUBALGEBRAS AND IDEALS IN BCK/BCI-ALGEBRAS,"homomorphic,  BCK/BCI- algebras, bipolar fuzzy, subalgebras ","The notions of doubt bipolar fuzzy subalgebras and (closed) doubt bipolar fuzzy ideals are introduced, and related properties are investigated. Characterizations of a doubt bipolar fuzzy subalgebra and a doubt bipolar fuzzy ideal are given, and relations between a doubt bipolar fuzzy subalgebra and a doubt bipolar fuzzy ideal are discussed. The concepts of homomorphic preimages and doubt images of doubt bipolar fuzzy ideals in BCK/BCI- algebras are investigated. Conditions for a doubt bipolar fuzzy ideal to be a closed doubt bipolar fuzzy ideal are provided."
Bipolar fuzzy soft subalgebras and ideals of BCK/BCI-algebras based on bipolar fuzzy points,"(q)-bipolar fuzzy soft subalgebra/ideal, -bipolar fuzzy soft set, Bipolar BCK/BCI-algebra, q-bipolar fuzzy soft set, soft set","In this paper, the concept of quasi-coincidence of a bipolar fuzzy point within a bipolar fuzzy set is introduced. The notion of -bipolar fuzzy soft set and q-bipolar fuzzy soft set is introduced based on a bipolar fuzzy set and characterizations for an -bipolar fuzzy soft set and a q-bipolar fuzzy soft set to be bipolar fuzzy soft BCK/BCI-algebras are given. Also, the notion of ( , ∨ q)-bipolar fuzzy subalgebras and ideals are introduced and characterizes for an -bipolar fuzzy soft set and q-bipolar fuzzy soft set to be a bipolar fuzzy soft BCK/BCI-algebras are established. Some characterization theorems of these ( , ∨ q)-bipolar fuzzy soft subalgebras and ideals are derived. The relationship among these ( , ∨ q)-bipolar fuzzy soft subalgebras and ideals are also considered. © 2019 - IOS Press and the authors. All rights reserved."
Bipolar fuzzy hyper BCK-ideals in hyper BCK-algebras,"(Strong; Bipolar fuzzy hyper bckideal, Bipolar fuzzy s-weak hyper BCK-ideal, Bipolar fuzzy strong hyper BCK-ideal, Bipolar fuzzy weak hyper BCK-ideal, Inf-sup property, S-weak) hyper BCK-ideal, Weak","Using the notion of bipolar-valued fuzzy sets, the concepts of bipolar fuzzy (weak, s-weak, strong) hyper BCK-ideals are introduced, and their relations are discussed. Moreover, several related properties are investigated."
Bipolar Fuzzy UP-Algebras," UP-algebra, bipolar fuzzy UP-subalgebra, bipolar fuzzy UP-filter, bipolar fuzzy UP-ideal, bipolar fuzzy strongly UP-ideal","In this paper, we apply the notion of bipolar-valued fuzzy set to UP-algebras. We introduce the notions of bipolar fuzzy UP-subalgebras (resp., bipolar fuzzy UP-filters, bipolar fuzzy UP-ideals, and bipolar fuzzy strongly UP-ideals) of UP-algebras and prove their generalizations. We provide a condition for a bipolar fuzzy UP-filter to be a bipolar fuzzy UP-ideal. Further, we discuss the relation between bipolar fuzzy UP-subalgebras (resp., bipolar fuzzy UP-filters, bipolar fuzzy UP-ideals, and bipolar fuzzy strongly UP-ideals) and their level cuts."
On Bipolar Anti Fuzzy h-ideals in Hemi-rings,"Anti images and anti pre-images, BAF h-ideals, Hemi-rings, Negative anti α-cuts, Positive anti β-cuts","In this work, we present notions of bipolar anti fuzzy h-ideals and bipolar anti fuzzy interior h-ideals in hemi-rings. Investigating some of their properties, we characterize hemi-rings by means of positive anti β-cut and negative anti α-cut. Meanwhile, some results of homomorphisms, anti images and anti pre-images are given to show the rationality of the definitions introduced in the present paper. Also, we define an equivalence relation on bipolar anti fuzzy h-ideals. In particular, we investigate translations, extensions and multiplications of bipolar anti fuzzy h-ideals. Finally, we present characterizations of h-hemi-regular and h-semi-simple hemi-rings in terms of bipolar anti fuzzy h-ideals. © 2017 Fuzzy Information and Engineering Branch of the Operations Research Society of China. Production and hosting by Elsevier B.V. All rights reserved."
"Uniformly Positive Correlations in the Dimer Model and Macroscopic Interacting Self-Avoiding Walk in ℤd, d ≥ 3","correlations, zero polynomially, lattice  permutations, derivation, dimensions","Our first main result is that correlations between monomers in the dimer model in (Formula presented.) do not decay to 0 when (Formula presented.). This is the first rigorous result about correlations in the dimer model in dimensions greater than 2 and shows that the model behaves drastically differently than in two dimensions, in which case it is integrable and correlations are known to decay to zero polynomially. Such a result is implied by our more general, second main result, which states the occurrence of a phase transition in the model of lattice permutations, which is related to the quantum Bose gas. More precisely, we consider a self-avoiding walk interacting with lattice permutations and we prove that, in the regime of fully packed loops, such a walk is ‘long’ and the distance between its endpoints grows linearly with the diameter of the box. These results follow from the derivation of a version of the infrared bound from a new general probabilistic settings, with coloured loops and walks interacting at sites and walks entering into the system from some ‘virtual’ vertices. © 2022 The Authors. Communications on Pure and Applied Mathematics published by Wiley Periodicals LLC."
Random Permutations of a Regular Lattice,"Fractal dimension, Infinite volume limit; Kosterlitz-Thouless transition, Random permutations, Schramm-Löwner evolution","Spatial random permutations were originally studied due to their connections to Bose-Einstein condensation, but they possess many interesting properties of their own. For random permutations of a regular lattice with periodic boundary conditions, we prove existence of the infinite volume limit under fairly weak assumptions. When the dimension of the lattice is two, we give numerical evidence of a Kosterlitz-Thouless transition, and of long cycles having an almost sure fractal dimension in the scaling limit. Finally we comment on possible connections to Schramm-Löwner curves. "
Interacting self-avoiding polygons,"Phase transition, Spatial random permutations, Weakly space filling loops","We consider a system of self-avoiding polygons interacting through a potential that penalizes or rewards the number of mutual touchings and we provide an exact computation of the critical curve separating a regime of long polygons from a regime of localized polygons. Moreover, we prove the existence of a sub-region of the phase diagram where the self-avoiding polygons are space filling and we provide a non-trivial characterization of the regime where the polygon length admits uniformly bounded exponential moments."
